,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path
33,Output_tiktok_takeout_dutch_structure,Tiktok,App Language,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",[],"['App Settings', 'Settings', 'SettingsMap', 'App Language']",static,string,,
34,Output_tiktok_takeout_dutch_structure,Tiktok,Filter Comments,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",[],"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",static,string,,
35,Output_tiktok_takeout_dutch_structure,Tiktok,Interests,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",[],"['App Settings', 'Settings', 'SettingsMap', 'Interests']",static,string,,
36,Output_tiktok_takeout_dutch_structure,Tiktok,Private Account,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",[],"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",static,string,,
37,Output_tiktok_takeout_dutch_structure,Tiktok,Suggest your account to Facebook friends,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",[],"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",static,string,,
38,Output_tiktok_takeout_dutch_structure,Tiktok,Suggest your account to contacts,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",[],"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",static,string,,
39,Output_tiktok_takeout_dutch_structure,Tiktok,Suggest your account to people who open or send links to you,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",[],"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",static,string,,
40,Output_tiktok_takeout_dutch_structure,Tiktok,Web Language,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",[],"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",static,string,,
41,Output_tiktok_takeout_dutch_structure,Tiktok,Who Can Duet With Me,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",[],"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",static,string,,
42,Output_tiktok_takeout_dutch_structure,Tiktok,Who Can Post Comments,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",[],"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",static,string,,
43,Output_tiktok_takeout_dutch_structure,Tiktok,Who Can Send Me Message,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",[],"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",static,string,,
44,Output_tiktok_takeout_dutch_structure,Tiktok,Who Can Stitch with your videos,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",[],"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",static,string,,
45,Output_tiktok_takeout_dutch_structure,Tiktok,Who Can View Videos I Liked,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",[],"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",static,string,,
46,Output_tiktok_takeout_dutch_structure,Tiktok,bioDescription,"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",[],"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",static,string,,
47,Output_tiktok_takeout_dutch_structure,Tiktok,birthDate,"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",[],"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",static,string,,
48,Output_tiktok_takeout_dutch_structure,Tiktok,emailAddress,"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",[],"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",static,string,,
49,Output_tiktok_takeout_dutch_structure,Tiktok,likesReceived,"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",[],"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",static,string,,
50,Output_tiktok_takeout_dutch_structure,Tiktok,profilePhoto,"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",[],"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",static,string,,
51,Output_tiktok_takeout_dutch_structure,Tiktok,profileVideo,"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",[],"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",static,string,,
52,Output_tiktok_takeout_dutch_structure,Tiktok,telephoneNumber,"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",[],"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",static,string,,
53,Output_tiktok_takeout_dutch_structure,Tiktok,userName,"['Profile', 'Profile Information', 'ProfileMap', 'userName']",[],"['Profile', 'Profile Information', 'ProfileMap', 'userName']",static,string,,
54,Output_tiktok_takeout_dutch_structure,Tiktok,Allow agencies to find and invite you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",static,string,,
55,Output_tiktok_takeout_dutch_structure,Tiktok,Allow others to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",static,string,,
56,Output_tiktok_takeout_dutch_structure,Tiktok,Allow people to send and receive comments during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",static,string,,
57,Output_tiktok_takeout_dutch_structure,Tiktok,Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",static,string,,
58,Output_tiktok_takeout_dutch_structure,Tiktok,Allow viewers to request to go LIVE with you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",static,string,,
59,Output_tiktok_takeout_dutch_structure,Tiktok,Allow viewers to see and send questions and answers in your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",static,string,,
60,Output_tiktok_takeout_dutch_structure,Tiktok,Allow viewers to send you gifts during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",static,string,,
61,Output_tiktok_takeout_dutch_structure,Tiktok,Hide potential spam or offensive comments from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",static,string,,
62,Output_tiktok_takeout_dutch_structure,Tiktok,Show your username and gift information in features with ranking lists,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",static,string,,
63,Output_tiktok_takeout_dutch_structure,Tiktok,app,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",[],"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",static,string,,
64,Output_tiktok_takeout_dutch_structure,Tiktok,web,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",[],"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",static,string,,
65,Output_tiktok_takeout_dutch_structure,Tiktok,Desktop notification,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",static,string,,
66,Output_tiktok_takeout_dutch_structure,Tiktok,New Comments on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",static,string,,
67,Output_tiktok_takeout_dutch_structure,Tiktok,New Fans,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",static,string,,
68,Output_tiktok_takeout_dutch_structure,Tiktok,New Likes on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",static,string,,
69,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']","['Activity', 'Favorite Videos', 'FavoriteVideoList']",['Date'],list,string,,
70,Output_tiktok_takeout_dutch_structure,Tiktok,Link,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']","['Activity', 'Favorite Videos', 'FavoriteVideoList']",['Link'],list,string,,
71,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Following List', 'Following', 'Date']","['Activity', 'Following List', 'Following']",['Date'],list,string,,
72,Output_tiktok_takeout_dutch_structure,Tiktok,UserName,"['Activity', 'Following List', 'Following', 'UserName']","['Activity', 'Following List', 'Following']",['UserName'],list,string,,
73,Output_tiktok_takeout_dutch_structure,Tiktok,HashtagName,"['Activity', 'Hashtag', 'HashtagList', 'HashtagName']","['Activity', 'Hashtag', 'HashtagList']",['HashtagName'],list,string,,
74,Output_tiktok_takeout_dutch_structure,Tiktok,HashtagLink,"['Activity', 'Hashtag', 'HashtagList', 'HashtagLink']","['Activity', 'Hashtag', 'HashtagList']",['HashtagLink'],list,string,,
75,Output_tiktok_takeout_dutch_structure,Tiktok,date,"['Activity', 'Like List', 'ItemFavoriteList', 'date']","['Activity', 'Like List', 'ItemFavoriteList']",['date'],list,string,,
76,Output_tiktok_takeout_dutch_structure,Tiktok,link,"['Activity', 'Like List', 'ItemFavoriteList', 'link']","['Activity', 'Like List', 'ItemFavoriteList']",['link'],list,string,,
77,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Login History', 'LoginHistoryList', 'Date']","['Activity', 'Login History', 'LoginHistoryList']",['Date'],list,string,,
78,Output_tiktok_takeout_dutch_structure,Tiktok,IP,"['Activity', 'Login History', 'LoginHistoryList', 'IP']","['Activity', 'Login History', 'LoginHistoryList']",['IP'],list,string,,
79,Output_tiktok_takeout_dutch_structure,Tiktok,DeviceModel,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceModel']","['Activity', 'Login History', 'LoginHistoryList']",['DeviceModel'],list,string,,
80,Output_tiktok_takeout_dutch_structure,Tiktok,DeviceSystem,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceSystem']","['Activity', 'Login History', 'LoginHistoryList']",['DeviceSystem'],list,string,,
81,Output_tiktok_takeout_dutch_structure,Tiktok,NetworkType,"['Activity', 'Login History', 'LoginHistoryList', 'NetworkType']","['Activity', 'Login History', 'LoginHistoryList']",['NetworkType'],list,string,,
82,Output_tiktok_takeout_dutch_structure,Tiktok,Carrier,"['Activity', 'Login History', 'LoginHistoryList', 'Carrier']","['Activity', 'Login History', 'LoginHistoryList']",['Carrier'],list,string,,
83,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Search History', 'SearchList', 'Date']","['Activity', 'Search History', 'SearchList']",['Date'],list,string,,
84,Output_tiktok_takeout_dutch_structure,Tiktok,SearchTerm,"['Activity', 'Search History', 'SearchList', 'SearchTerm']","['Activity', 'Search History', 'SearchList']",['SearchTerm'],list,string,,
85,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Share History', 'ShareHistoryList', 'Date']","['Activity', 'Share History', 'ShareHistoryList']",['Date'],list,string,,
86,Output_tiktok_takeout_dutch_structure,Tiktok,SharedContent,"['Activity', 'Share History', 'ShareHistoryList', 'SharedContent']","['Activity', 'Share History', 'ShareHistoryList']",['SharedContent'],list,string,,
87,Output_tiktok_takeout_dutch_structure,Tiktok,Link,"['Activity', 'Share History', 'ShareHistoryList', 'Link']","['Activity', 'Share History', 'ShareHistoryList']",['Link'],list,string,,
88,Output_tiktok_takeout_dutch_structure,Tiktok,Method,"['Activity', 'Share History', 'ShareHistoryList', 'Method']","['Activity', 'Share History', 'ShareHistoryList']",['Method'],list,string,,
89,Output_tiktok_takeout_dutch_structure,Tiktok,Resolution,"['Activity', 'Status', 'Status List', 'Resolution']","['Activity', 'Status', 'Status List']",['Resolution'],list,string,,
90,Output_tiktok_takeout_dutch_structure,Tiktok,App Version,"['Activity', 'Status', 'Status List', 'App Version']","['Activity', 'Status', 'Status List']",['App Version'],list,string,,
91,Output_tiktok_takeout_dutch_structure,Tiktok,IDFA,"['Activity', 'Status', 'Status List', 'IDFA']","['Activity', 'Status', 'Status List']",['IDFA'],list,string,,
92,Output_tiktok_takeout_dutch_structure,Tiktok,GAID,"['Activity', 'Status', 'Status List', 'GAID']","['Activity', 'Status', 'Status List']",['GAID'],list,string,,
93,Output_tiktok_takeout_dutch_structure,Tiktok,Android ID,"['Activity', 'Status', 'Status List', 'Android ID']","['Activity', 'Status', 'Status List']",['Android ID'],list,string,,
94,Output_tiktok_takeout_dutch_structure,Tiktok,IDFV,"['Activity', 'Status', 'Status List', 'IDFV']","['Activity', 'Status', 'Status List']",['IDFV'],list,string,,
95,Output_tiktok_takeout_dutch_structure,Tiktok,Web ID,"['Activity', 'Status', 'Status List', 'Web ID']","['Activity', 'Status', 'Status List']",['Web ID'],list,string,,
96,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Activity', 'Video Browsing History', 'VideoList', 'Date']","['Activity', 'Video Browsing History', 'VideoList']",['Date'],list,string,,
97,Output_tiktok_takeout_dutch_structure,Tiktok,Link,"['Activity', 'Video Browsing History', 'VideoList', 'Link']","['Activity', 'Video Browsing History', 'VideoList']",['Link'],list,string,,
98,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['App Settings', 'Block', 'BlockList', 'Date']","['App Settings', 'Block', 'BlockList']",['Date'],list,string,,
99,Output_tiktok_takeout_dutch_structure,Tiktok,UserName,"['App Settings', 'Block', 'BlockList', 'UserName']","['App Settings', 'Block', 'BlockList']",['UserName'],list,string,,
100,Output_tiktok_takeout_dutch_structure,Tiktok,date,"['Comment', 'Comments', 'CommentsList', 'date']","['Comment', 'Comments', 'CommentsList']",['date'],list,string,,
101,Output_tiktok_takeout_dutch_structure,Tiktok,comment,"['Comment', 'Comments', 'CommentsList', 'comment']","['Comment', 'Comments', 'CommentsList']",['comment'],list,string,,
102,Output_tiktok_takeout_dutch_structure,Tiktok,photo,"['Comment', 'Comments', 'CommentsList', 'photo']","['Comment', 'Comments', 'CommentsList']",['photo'],list,string,,
103,Output_tiktok_takeout_dutch_structure,Tiktok,url,"['Comment', 'Comments', 'CommentsList', 'url']","['Comment', 'Comments', 'CommentsList']",['url'],list,string,,
104,Output_tiktok_takeout_dutch_structure,Tiktok,PlaceName,"['Poi Review', 'POI Review', 'ReviewsList', 'PlaceName']","['Poi Review', 'POI Review', 'ReviewsList']",['PlaceName'],list,string,,
105,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Poi Review', 'POI Review', 'ReviewsList', 'Date']","['Poi Review', 'POI Review', 'ReviewsList']",['Date'],list,string,,
106,Output_tiktok_takeout_dutch_structure,Tiktok,Rating,"['Poi Review', 'POI Review', 'ReviewsList', 'Rating']","['Poi Review', 'POI Review', 'ReviewsList']",['Rating'],list,string,,
107,Output_tiktok_takeout_dutch_structure,Tiktok,Status,"['Poi Review', 'POI Review', 'ReviewsList', 'Status']","['Poi Review', 'POI Review', 'ReviewsList']",['Status'],list,string,,
108,Output_tiktok_takeout_dutch_structure,Tiktok,Likes,"['Poi Review', 'POI Review', 'ReviewsList', 'Likes']","['Poi Review', 'POI Review', 'ReviewsList']",['Likes'],list,string,,
109,Output_tiktok_takeout_dutch_structure,Tiktok,ReviewText,"['Poi Review', 'POI Review', 'ReviewsList', 'ReviewText']","['Poi Review', 'POI Review', 'ReviewsList']",['ReviewText'],list,string,,
110,Output_tiktok_takeout_dutch_structure,Tiktok,Hide comments that contain the following keywords from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']","['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",[],list,array,,
111,Output_tiktok_takeout_dutch_structure,Tiktok,People you assigned to moderate your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']","['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",[],list,array,,
112,Output_tiktok_takeout_dutch_structure,Tiktok,Date,"['Video', 'Videos', 'VideoList', 'Date']","['Video', 'Videos', 'VideoList']",['Date'],list,string,,
113,Output_tiktok_takeout_dutch_structure,Tiktok,Link,"['Video', 'Videos', 'VideoList', 'Link']","['Video', 'Videos', 'VideoList']",['Link'],list,string,,
114,Output_tiktok_takeout_dutch_structure,Tiktok,Likes,"['Video', 'Videos', 'VideoList', 'Likes']","['Video', 'Videos', 'VideoList']",['Likes'],list,string,,
115,Output_tiktok_takeout_dutch_structure,Tiktok,WhoCanView,"['Video', 'Videos', 'VideoList', 'WhoCanView']","['Video', 'Videos', 'VideoList']",['WhoCanView'],list,string,,
116,Output_tiktok_takeout_dutch_structure,Tiktok,AllowComments,"['Video', 'Videos', 'VideoList', 'AllowComments']","['Video', 'Videos', 'VideoList']",['AllowComments'],list,string,,
117,Output_tiktok_takeout_dutch_structure,Tiktok,AllowStitches,"['Video', 'Videos', 'VideoList', 'AllowStitches']","['Video', 'Videos', 'VideoList']",['AllowStitches'],list,string,,
118,Output_tiktok_takeout_dutch_structure,Tiktok,AllowDuets,"['Video', 'Videos', 'VideoList', 'AllowDuets']","['Video', 'Videos', 'VideoList']",['AllowDuets'],list,string,,
119,Output_tiktok_takeout_dutch_structure,Tiktok,AllowStickers,"['Video', 'Videos', 'VideoList', 'AllowStickers']","['Video', 'Videos', 'VideoList']",['AllowStickers'],list,string,,
120,Output_tiktok_takeout_dutch_structure,Tiktok,AllowSharingToStory,"['Video', 'Videos', 'VideoList', 'AllowSharingToStory']","['Video', 'Videos', 'VideoList']",['AllowSharingToStory'],list,string,,
121,Output_tiktok_takeout_dutch_structure,Tiktok,ContentDisclosure,"['Video', 'Videos', 'VideoList', 'ContentDisclosure']","['Video', 'Videos', 'VideoList']",['ContentDisclosure'],list,string,,
122,Output_tiktok_takeout_dutch_structure,Tiktok,AIGeneratedContent,"['Video', 'Videos', 'VideoList', 'AIGeneratedContent']","['Video', 'Videos', 'VideoList']",['AIGeneratedContent'],list,string,,
123,Output_tiktok_takeout_dutch_structure,Tiktok,Sound,"['Video', 'Videos', 'VideoList', 'Sound']","['Video', 'Videos', 'VideoList']",['Sound'],list,string,,
124,Output_tiktok_takeout_dutch_structure,Tiktok,Location,"['Video', 'Videos', 'VideoList', 'Location']","['Video', 'Videos', 'VideoList']",['Location'],list,string,,
125,Output_tiktok_takeout_dutch_structure,Tiktok,Title,"['Video', 'Videos', 'VideoList', 'Title']","['Video', 'Videos', 'VideoList']",['Title'],list,string,,
126,Output_tiktok_takeout_dutch_structure,Tiktok,AddYoursText,"['Video', 'Videos', 'VideoList', 'AddYoursText']","['Video', 'Videos', 'VideoList']",['AddYoursText'],list,string,,
127,Output_tiktok_takeout_dutch_structure,Tiktok,Description,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']","['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo']",['Description'],list,string,,
