,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
1715,historial-de-búsqueda:name,Youtube,search-history:name,historial-de-búsqueda.json,name,details/name,"[""details""]","[""name""]",list,string,historial/historial-de-búsqueda.json,No,pre-trial,historial/historial-de-búsqueda.json/details/name
1716,historial-de-reproducciones:subtitles:name,Youtube,watch-history:subtitles:name,historial-de-reproducciones.json,name,subtitles/name,"[""subtitles""]","[""name""]",list,string,historial/historial-de-reproducciones.json,No,pre-trial,historial/historial-de-reproducciones.json/subtitles/name
1717,historial-de-reproducciones:url,Youtube,watch-history:url,historial-de-reproducciones.json,url,subtitles/url,"[""subtitles""]","[""url""]",list,string,historial/historial-de-reproducciones.json,No,pre-trial,historial/historial-de-reproducciones.json/subtitles/url
1718,istoricul căutărilor:header,Youtube,search-history:header,istoricul căutărilor.json,header,header,[],"[""header""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/header
1719,istoricul căutărilor:title,Youtube,search-history:title,istoricul căutărilor.json,title,title,[],"[""title""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/title
1720,istoricul căutărilor:titleUrl,Youtube,search-history:titleUrl,istoricul căutărilor.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/titleUrl
1721,istoricul căutărilor:time,Youtube,search-history:time,istoricul căutărilor.json,time,time,[],"[""time""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/time
1722,istoricul căutărilor:products,Youtube,search-history:products,istoricul căutărilor.json,products,products,[],"[""products""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/products
1723,istoricul căutărilor:activityControls,Youtube,search-history:activityControls,istoricul căutărilor.json,activityControls,activityControls,[],"[""activityControls""]",list,string,istoric/istoricul căutărilor.json,No,pre-trial,istoric/istoricul căutărilor.json/activityControls
1724,istoricul-vizionărilor:header,Youtube,watch-history:header,istoricul-vizionărilor.json,header,header,[],"[""header""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/header
1725,istoricul-vizionărilor:title,Youtube,watch-history:title,istoricul-vizionărilor.json,title,title,[],"[""title""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/title
1726,istoricul-vizionărilor:titleUrl,Youtube,watch-history:titleUrl,istoricul-vizionărilor.json,titleUrl,titleUrl,[],"[""titleUrl""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/titleUrl
1727,istoricul-vizionărilor:time,Youtube,watch-history:time,istoricul-vizionărilor.json,time,time,[],"[""time""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/time
1728,istoricul-vizionărilor:products,Youtube,watch-history:products,istoricul-vizionărilor.json,products,products,[],"[""products""]",list,string,istoric/istoricul-vizionărilor.json,No,pre-trial,istoric/istoricul-vizionărilor.json/products
