,participant,platform,final_path,date_added,duplicate_flag,keepID
1758,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/ai_conversations.json/label_values/dict/dict/vec,11/11/2025,No,messages:ai_conversations:dict:vec
1759,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/ai_conversations.json/label_values/dict/dict/dict,11/11/2025,No,messages:ai_conversations:dict:dict
1760,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/ai_conversations.json/label_values/dict/dict/title,11/11/2025,No,messages:ai_conversations:dict:dict:title
1761,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/ai_conversations.json/label_values/dict/dict/timestamp_value,11/11/2025,No,messages:ai_conversations:timestamp_value
1762,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237935489150020/messages/from,11/11/2025,No,messages:support_messages:10237935489150020:messages:from
1763,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237935489150020/messages/to,11/11/2025,No,messages:support_messages:10237935489150020:messages:to
1764,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237935489150020/messages/subject,11/11/2025,No,messages:support_messages:10237935489150020:messages:subject
1765,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237935489150020/messages/message,11/11/2025,No,messages:support_messages:10237935489150020:messages:message
1766,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237935489150020/messages/timestamp,11/11/2025,No,messages:support_messages:10237935489150020:messages:timestamp
1767,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237421081890160/messages/from,11/11/2025,No,messages:support_messages:10237421081890160:messages:from
1768,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237421081890160/messages/to,11/11/2025,No,messages:support_messages:10237421081890160:messages:to
1769,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237421081890160/messages/subject,11/11/2025,No,messages:support_messages:10237421081890160:messages:subject
1770,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237421081890160/messages/message,11/11/2025,No,messages:support_messages:10237421081890160:messages:message
1771,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237421081890160/messages/timestamp,11/11/2025,No,messages:support_messages:10237421081890160:messages:timestamp
1772,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237203958142202/messages/from,11/11/2025,No,messages:support_messages:10237203958142202:messages:from
1773,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237203958142202/messages/to,11/11/2025,No,messages:support_messages:10237203958142202:messages:to
1774,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237203958142202/messages/subject,11/11/2025,No,messages:support_messages:10237203958142202:messages:subject
1775,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237203958142202/messages/message,11/11/2025,No,messages:support_messages:10237203958142202:messages:message
1776,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10237203958142202/messages/timestamp,11/11/2025,No,messages:support_messages:10237203958142202:messages:timestamp
1777,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10236753073510368/messages/from,11/11/2025,No,messages:support_messages:10236753073510368:messages:from
1778,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10236753073510368/messages/to,11/11/2025,No,messages:support_messages:10236753073510368:messages:to
1779,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10236753073510368/messages/subject,11/11/2025,No,messages:support_messages:10236753073510368:messages:subject
1780,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10236753073510368/messages/message,11/11/2025,No,messages:support_messages:10236753073510368:messages:message
1781,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/messages/support_messages.json/support_messages/10236753073510368/messages/timestamp,11/11/2025,No,messages:support_messages:10236753073510368:messages:timestamp
1782,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/timestamp,pre-trial,No,groups:your_comments_in_groups:comment:timestamp
1783,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/timestamp,11/11/2025,No,groups:your_comments_in_groups:comment:timestamp
1784,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/comment,pre-trial,No,groups:your_comments_in_groups:comment
1785,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/comment,11/11/2025,No,groups:your_comments_in_groups:comment
1786,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/group,pre-trial,No,groups:your_comments_in_groups:group
1787,Output_structure_Facebook_a6a3da1372c02200,Facebook,your_facebook_activity/groups/your_comments_in_groups.json/group_comments_v2/data/comment/group,11/11/2025,No,groups:your_comments_in_groups:group
